Date,,Dubai,Brent,WTI
04岿?13老,,22.31,31.74,22.41
04岿?14老,,21.66,29.6,20.11
04岿?15老,,19.68,27.69,19.87
04岿?16老,,19.72,27.82,19.87
04岿?17老,,20.61,28.08,18.27
04岿?20老,,20.78,25.57,-37.63
04岿?21老,,17.37,19.33,10.01
04岿?22老,,13.52,20.37,13.78
04岿?23老,,18.13,21.33,16.5
04岿?24老,,18.17,21.44,16.94
04岿?27老,,17.97,19.99,12.78
04岿?28老,,16.63,20.46,12.34
04岿?29老,,17.12,22.54,15.06
04岿?30老,,20.73,25.27,18.84
05岿?01老,,-,26.44,19.78
05岿?04老,,24.33,27.2,20.39
05岿?05老,,26,30.97,24.56
05岿?06老,,26.88,29.72,23.99
05岿?07老,,-,29.46,23.55
05岿?08老,,25.92,30.97,24.74
05岿?11老,,26.72,29.63,24.14
05岿?12老,,26.93,29.98,25.78
05岿?13老,,26.84,29.19,25.29
05岿?14老,,29.83,31.13,27.56
05岿?15老,,31.94,32.5,29.43
05岿?18老,,32.9,34.81,31.82
05岿?19老,,33.18,34.65,32.5
05岿?20老,,32.95,35.75,33.49
05岿?21老,,34.1,36.06,33.92
05岿?22老,,32.62,35.13,33.25
05岿?25老,,-,35.53,-
05岿?26老,,34.81,36.17,34.35
05岿?27老,,34.48,34.74,32.81
05岿?28老,,33.17,35.29,33.71
05岿?29老,,34.86,35.33,35.49
06岿?01老,,37.97,38.32,35.44
06岿?02老,,38.93,39.57,36.81
06岿?03老,,39.87,39.79,37.29
06岿?04老,,38.82,39.99,37.41
06岿?05老,,40.63,42.3,39.55
06岿?08老,,42.94,40.8,38.19
06岿?09老,,40.85,41.18,38.94
06岿?10老,,40.91,41.73,39.6
06岿?11老,,40.6,38.55,36.34
06岿?12老,,38.42,38.73,36.26
06岿?15老,,38.35,39.72,37.12
06岿?16老,,40.29,40.96,38.38
06岿?17老,,41.46,40.71,37.96
06岿?18老,,41.09,41.51,38.84
06岿?19老,,42.95,42.19,39.75
06岿?22老,,42.32,43.08,40.46
06岿?23老,,43.39,42.63,40.37
06岿?24老,,42.49,40.31,38.01
06岿?25老,,40.58,41.05,38.72
06岿?26老,,42.02,41.02,38.49
06岿?29老,,40.63,41.71,39.7
06岿?30老,,42.07,41.15,39.27
07岿?01老,,42.7,42.03,39.82
07岿?02老,,42.85,43.14,40.65
07岿?03老,,42.68,42.8,-
07岿?06老,,43.66,43.1,40.63
07岿?07老,,42.9,43.08,40.62
07岿?08老,,43.34,43.29,40.9
07岿?09老,,43.63,42.35,39.62
07岿?10老,,-,43.24,40.55
07岿?13老,,43.38,42.72,40.1
07岿?14老,,42.78,42.9,40.29
07岿?15老,,44.18,43.79,41.2
07岿?16老,,43.37,43.37,40.75
07岿?17老,,42.86,43.14,40.59
07岿?20老,,42.72,43.28,40.81
07岿?21老,,43.87,44.32,41.96
07岿?22老,,44.12,44.29,41.9
07岿?23老,,44.42,43.31,41.07
07岿?24老,,43.11,43.34,41.29
07岿?27老,,43.13,43.41,41.6
07岿?28老,,43.12,43.22,41.04
07岿?29老,,43.27,43.75,41.27
07岿?30老,,43.14,42.94,39.92
07岿?31老,,-,43.3,40.27
08岿?03老,,42.48,44.15,41.01
08岿?04老,,42.97,44.43,41.7
08岿?05老,,43.76,45.17,42.19
08岿?06老,,43.71,45.09,41.95
08岿?07老,,43.88,44.4,41.22
08岿?10老,,-,44.99,41.94
08岿?11老,,44.12,44.5,41.61
08岿?12老,,43.63,45.43,42.67
08岿?13老,,44.18,44.96,42.24
08岿?14老,,43.44,44.8,42.01
08岿?17老,,43.67,45.37,42.89
08岿?18老,,44.46,45.46,42.89
08岿?19老,,43.8,45.37,42.93
08岿?20老,,43.89,44.9,42.58
08岿?21老,,43.96,44.35,42.34
08岿?24老,,43.78,45.13,42.62
08岿?25老,,44.34,45.86,43.35
08岿?26老,,44.83,45.64,43.39
08岿?27老,,45.01,45.09,43.04
08岿?28老,,44.12,45.05,42.97
08岿?31老,,45.93,45.28,42.61
09岿?01老,,45.11,45.58,42.76
09岿?02老,,45.3,44.43,41.51
09岿?03老,,43.43,44.07,41.37
09岿?04老,,43.78,42.66,39.77
09岿?07老,,41.42,42.01,-
09岿?08老,,40.68,39.78,36.76
09岿?09老,,39.49,40.79,38.05
09岿?10老,,39.74,40.06,37.3
09岿?11老,,39.27,39.83,37.33
09岿?14老,,38.89,39.61,37.26
09岿?15老,,39.24,40.53,38.28
09岿?16老,,41.21,42.22,40.16
09岿?17老,,41.67,43.3,40.97
09岿?18老,,43.02,43.15,41.11
09岿?21老,,41.63,41.44,39.31
09岿?22老,,41.14,41.72,39.6
09岿?23老,,41.38,41.77,39.93
09岿?24老,,41.21,41.94,40.31
09岿?25老,,41.98,41.92,40.25
09岿?28老,,41.41,42.43,40.6
09岿?29老,,41.87,41.03,39.29
09岿?30老,,40.36,40.95,40.22
10岿?01老,,41.12,40.93,38.72
10岿?02老,,38.62,39.27,37.05
10岿?05老,,39.27,41.29,39.22
10岿?06老,,40.55,42.65,40.67
10岿?07老,,41.24,41.99,39.95
10岿?08老,,41.46,43.34,41.19
10岿?09老,,42.06,42.85,40.6
10岿?12老,,41.28,41.72,39.43
10岿?13老,,41.19,42.45,40.2
10岿?14老,,41.62,43.32,41.04
10岿?15老,,42.01,43.16,40.96
10岿?16老,,41.88,42.93,40.88
10岿?19老,,41.77,42.62,40.83
10岿?20老,,41.58,43.16,41.46
10岿?21老,,41.71,41.73,40.03
10岿?22老,,41.36,42.46,40.64
10岿?23老,,41.67,41.77,39.85
10岿?26老,,39.84,40.46,38.56
10岿?27老,,39.9,41.2,39.57
10岿?28老,,39.27,39.12,37.39
10岿?29老,,38.26,37.65,36.17
10岿?30老,,37.18,37.46,35.79
11岿?02老,,36.3,38.97,36.81
11岿?03老,,39.52,39.71,37.66
11岿?04老,,39.76,41.23,39.15
11岿?05老,,40.69,40.93,38.79
11岿?06老,,40.57,39.45,37.14
11岿?09老,,40.34,42.4,40.29
11岿?10老,,42.49,43.61,41.36
11岿?11老,,44.44,43.8,41.45
11岿?12老,,43.95,43.53,41.12
11岿?13老,,43.15,42.78,40.13
11岿?16老,,43.74,43.82,41.34
11岿?17老,,43.87,43.75,41.43
11岿?18老,,43.78,44.34,41.82
11岿?19老,,44,44.2,41.74
11岿?20老,,44.19,44.96,42.15
11岿?23老,,45.61,46.06,43.06
11岿?24老,,45.86,47.86,44.91
11岿?25老,,47.87,48.61,45.71
11岿?26老,,47.49,47.8,-
11岿?27老,,47.13,48.18,45.53
11岿?30老,,47.02,47.59,45.34
12岿?01老,,47.59,47.42,44.55
12岿?02老,,47.08,48.25,45.28
12岿?03老,,48.06,48.71,45.64
12岿?04老,,49.04,49.25,46.26
12岿?07老,,48.29,48.79,45.76
12岿?08老,,48.3,48.84,45.6
12岿?09老,,49.14,48.86,45.52
12岿?10老,,49.03,50.25,46.78
12岿?11老,,50.47,49.97,46.57
12岿?14老,,50.65,50.29,46.99
12岿?15老,,50.17,50.76,47.62
12岿?16老,,50.85,51.08,47.82
12岿?17老,,51.46,51.5,48.36
12岿?18老,,51.11,52.26,49.1
12岿?21老,,50.26,50.91,47.74
12岿?22老,,49.75,50.08,47.02
12岿?23老,,49.61,51.2,48.12
12岿?24老,,51.28,51.29,48.23
12岿?28老,,51.07,50.86,47.62
12岿?29老,,50.97,51.09,48
12岿?30老,,51.05,51.34,48.4
12岿?31老,,51.14,51.8,48.52
